10 10
0 9 40
0 8 40
0 7 40
0 6 40
0 5 40
0 4 40
0 3 40
0 2 40
0 1 40
0 0 40
1 9 40
1 8 40
1 7 40
1 6 40
1 5 40
1 4 40
1 3 40
1 2 40
1 1 40
1 0 40
2 9 40
2 8 40
2 7 40
2 6 40
2 5 40
2 4 40
2 3 40
2 2 40
2 1 40
2 0 40
3 9 40
3 8 40
3 7 40
3 6 40
3 5 40
3 4 40
3 3 40
3 2 40
3 1 40
3 0 40
4 9 40
4 8 40
4 7 40
4 6 40
4 5 40
4 4 40
4 3 40
4 2 40
4 1 40
4 0 40
5 9 40
5 8 40
5 7 40
5 6 40
5 5 40
5 4 40
5 3 40
5 2 40
5 1 40
5 0 40
6 9 40
6 8 40
6 7 40
6 6 40
6 5 40
6 4 40
6 3 40
6 2 40
6 1 40
6 0 40
7 9 40
7 8 40
7 7 40
7 6 40
7 5 40
7 4 40
7 3 40
7 2 40
7 1 40
7 0 40
8 9 40
8 8 40
8 7 40
8 6 40
8 5 40
8 4 40
8 3 40
8 2 40
8 1 40
8 0 40
9 9 40
9 8 40
9 7 40
9 6 40
9 5 40
9 4 40
9 3 40
9 2 40
9 1 40
9 0 40
