30 30
0 29 419
0 28 400
0 27 10
0 26 10
0 25 8
0 24 7
0 23 5
0 22 4
0 21 4
0 20 4
0 19 6
0 18 8
0 17 10
0 16 12
0 15 193
0 14 12
0 13 11
0 12 9
0 11 47
0 10 5
0 9 4
0 8 5
0 7 6
0 6 8
0 5 11
0 4 13
0 3 15
0 2 15
0 1 14
0 0 82
1 29 8
1 28 10
1 27 11
1 26 11
1 25 10
1 24 8
1 23 6
1 22 14
1 21 14
1 20 4
1 19 16
1 18 8
1 17 20
1 16 12
1 15 23
1 14 13
1 13 12
1 12 71
1 11 8
1 10 6
1 9 5
1 8 5
1 7 6
1 6 8
1 5 10
1 4 13
1 3 15
1 2 16
1 1 116
1 0 14
2 29 8
2 28 9
2 27 11
2 26 11
2 25 11
2 24 39
2 23 7
2 22 5
2 21 4
2 20 24
2 19 25
2 18 47
2 17 19
2 16 12
2 15 23
2 14 14
2 13 104
2 12 12
2 11 10
2 10 8
2 9 6
2 8 5
2 7 5
2 6 7
2 5 9
2 4 12
2 3 15
2 2 136
2 1 17
2 0 16
3 29 7
3 28 9
3 27 11
3 26 11
3 25 51
3 24 10
3 23 9
3 22 7
3 21 5
3 20 44
3 19 5
3 18 26
3 17 8
3 16 11
3 15 13
3 14 125
3 13 25
3 12 34
3 11 22
3 10 9
3 9 7
3 8 5
3 7 5
3 6 6
3 5 8
3 4 11
3 3 164
3 2 17
3 1 18
3 0 17
4 29 6
4 28 8
4 27 10
4 26 21
4 25 12
4 24 11
4 23 10
4 22 18
4 21 6
4 20 5
4 19 15
4 18 6
4 17 18
4 16 10
4 15 153
4 14 45
4 13 36
4 12 45
4 11 34
4 10 21
4 9 9
4 8 6
4 7 5
4 6 6
4 5 8
4 4 200
4 3 14
4 2 16
4 1 18
4 0 19
5 29 5
5 28 7
5 27 30
5 26 11
5 25 12
5 24 12
5 23 21
5 22 9
5 21 7
5 20 6
5 19 15
5 18 5
5 17 7
5 16 179
5 15 12
5 14 15
5 13 16
5 12 26
5 11 25
5 10 13
5 9 20
5 8 18
5 7 6
5 6 6
5 5 227
5 4 9
5 3 13
5 2 16
5 1 18
5 0 19
6 29 5
6 28 37
6 27 9
6 26 11
6 25 12
6 24 13
6 23 12
6 22 11
6 21 9
6 20 37
6 19 5
6 18 5
6 17 206
6 16 38
6 15 21
6 14 14
6 13 16
6 12 27
6 11 37
6 10 25
6 9 22
6 8 39
6 7 7
6 6 246
6 5 6
6 4 8
6 3 11
6 2 15
6 1 18
6 0 20
7 29 4
7 28 16
7 27 8
7 26 10
7 25 22
7 24 13
7 23 13
7 22 12
7 21 10
7 20 8
7 19 6
7 18 5
7 17 56
7 16 28
7 15 10
7 14 13
7 13 16
7 12 18
7 11 58
7 10 37
7 9 24
7 8 11
7 7 279
7 6 37
7 5 16
